positives: 36669 samples
negatives: 1016412 samples
positives:
training 29337, test 3666, validation 3666
negatives:
training 813130, test 101641, validation 101641
input shape is = [30 25  1]
0, DaTa, val=0.9628243070761451, test=0.9628243070761451
1, DaTa, val=0.9608193282548706, test=0.9608193282548706
2, DaTa, val=0.9648717290667673, test=0.9648717290667673
3, DaTa, val=0.9603514376007339, test=0.9603514376007339
4, DaTa, val=0.9572156482230256, test=0.9572156482230256
5, DaTa, val=0.9670118685164235, test=0.9670118685164235
6, DaTa, val=0.9592479366675237, test=0.9592479366675237
7, DaTa, val=0.9607884801353596, test=0.9607884801353596
8, DaTa, val=0.9601332531413729, test=0.9601332531413729
9, DaTa, val=0.9650513845750858, test=0.9650513845750858
10, DaTa, val=0.9672993723461714, test=0.9672993723461714
11, DaTa, val=0.9667082234004257, test=0.9667082234004257
12, DaTa, val=0.959649877372653, test=0.959649877372653
13, DaTa, val=0.9622063758598646, test=0.9622063758598646
14, DaTa, val=0.9602950766143622, test=0.9602950766143622
15, DaTa, val=0.9618612631099005, test=0.9618612631099005
16, DaTa, val=0.9616641056648827, test=0.9616641056648827
17, DaTa, val=0.9658527553571479, test=0.9658527553571479
18, DaTa, val=0.9595417888575053, test=0.9595417888575053
19, DaTa, val=0.9640425655903161, test=0.9640425655903161
20, DaTa, val=0.9599752888702501, test=0.9599752888702501
21, DaTa, val=0.9632997980499522, test=0.9632997980499522
22, DaTa, val=0.9643798150151969, test=0.9643798150151969
23, DaTa, val=0.9615336361942637, test=0.9615336361942637
24, DaTa, val=0.9619348630275595, test=0.9619348630275595
25, DaTa, val=0.959972009353782, test=0.959972009353782
26, DaTa, val=0.9593385017761425, test=0.9593385017761425
27, DaTa, val=0.9649721850575, test=0.9649721850575
28, DaTa, val=0.9617568029959516, test=0.9617568029959516
29, DaTa, val=0.9619579135733406, test=0.9619579135733406
30, DaTa, val=0.9635377884270995, test=0.9635377884270995
31, DaTa, val=0.960876792253737, test=0.960876792253737
32, DaTa, val=0.9592491336105228, test=0.9592491336105228
33, DaTa, val=0.9649526072566531, test=0.9649526072566531
34, DaTa, val=0.9621106875131626, test=0.9621106875131626
35, DaTa, val=0.9621217042194652, test=0.9621217042194652
36, DaTa, val=0.9623249993520137, test=0.9623249993520137
37, DaTa, val=0.9591654133519465, test=0.9591654133519465
38, DaTa, val=0.9617534053954208, test=0.9617534053954208
39, DaTa, val=0.963149389816977, test=0.963149389816977
40, DaTa, val=0.9601143462727006, test=0.9601143462727006
41, DaTa, val=0.9645214045156729, test=0.9645214045156729
42, DaTa, val=0.9655864341980078, test=0.9655864341980078
43, DaTa, val=0.9595465189293341, test=0.9595465189293341
44, DaTa, val=0.9657152733034431, test=0.9657152733034431
45, DaTa, val=0.9605526904157439, test=0.9605526904157439
46, DaTa, val=0.9602566899009406, test=0.9602566899009406
47, DaTa, val=0.9653918423976243, test=0.9653918423976243
48, DaTa, val=0.9619870172691983, test=0.9619870172691983
49, DaTa, val=0.9638288522229644, test=0.9638288522229644
50, DaTa, val=0.9641839068458877, test=0.9641839068458877
51, DaTa, val=0.964690624344952, test=0.964690624344952
52, DaTa, val=0.9679711633136778, test=0.9679711633136778
53, DaTa, val=0.9676500498075893, test=0.9676500498075893
54, DaTa, val=0.9636225164258018, test=0.9636225164258018
55, DaTa, val=0.9629792548362119, test=0.9629792548362119
56, DaTa, val=0.9610549972066946, test=0.9610549972066946
57, DaTa, val=0.9603906066210711, test=0.9603906066210711
58, DaTa, val=0.9604939368852387, test=0.9604939368852387
59, DaTa, val=0.9661144605029287, test=0.9661144605029287
60, DaTa, val=0.960913320485036, test=0.960913320485036
61, DaTa, val=0.9644251767395028, test=0.9644251767395028
62, DaTa, val=0.9663299934383369, test=0.9663299934383369
63, DaTa, val=0.9674358802063593, test=0.9674358802063593
64, DaTa, val=0.9598525968453959, test=0.9598525968453959
65, DaTa, val=0.960042457232086, test=0.960042457232086
66, DaTa, val=0.9583978749957067, test=0.9583978749957067
67, DaTa, val=0.9679438053833376, test=0.9679438053833376
68, DaTa, val=0.9583332749622342, test=0.9583332749622342
69, DaTa, val=0.9632350007624204, test=0.9632350007624204
70, DaTa, val=0.9604377006922511, test=0.9604377006922511
71, DaTa, val=0.962021197237887, test=0.962021197237887
72, DaTa, val=0.9591573205680598, test=0.9591573205680598
73, DaTa, val=0.9600117097524011, test=0.9600117097524011
74, DaTa, val=0.9588796203992429, test=0.9588796203992429
75, DaTa, val=0.9631187107723738, test=0.9631187107723738
76, DaTa, val=0.9615548041043636, test=0.9615548041043636
77, DaTa, val=0.9629438940268965, test=0.9629438940268965
78, DaTa, val=0.9640441060505882, test=0.9640441060505882
79, DaTa, val=0.9675379410668529, test=0.9675379410668529
80, DaTa, val=0.9604804685927711, test=0.9604804685927711
81, DaTa, val=0.9634196815527247, test=0.9634196815527247
82, DaTa, val=0.9620233415371162, test=0.9620233415371162
83, DaTa, val=0.9587939128395663, test=0.9587939128395663
84, DaTa, val=0.966914434404204, test=0.966914434404204
85, DaTa, val=0.9615975156465812, test=0.9615975156465812
86, DaTa, val=0.9686294672026159, test=0.9686294672026159
87, DaTa, val=0.9589906918788378, test=0.9589906918788378
88, DaTa, val=0.963970319613785, test=0.963970319613785
89, DaTa, val=0.9620693500400382, test=0.9620693500400382
90, DaTa, val=0.963691179624522, test=0.963691179624522
91, DaTa, val=0.9622852291764487, test=0.9622852291764487
92, DaTa, val=0.9640126460409342, test=0.9640126460409342
93, DaTa, val=0.960591085180352, test=0.960591085180352
