positives: 36669 samples
negatives: 1016412 samples
positives:
training 29337, test 3666, validation 3666
negatives:
training 1009080, test 3666, validation 3666
input shape is = [30 20  1]
0, DaTa, val=0.975704628932682, test=0.975704628932682
1, DaTa, val=0.9756298124729716, test=0.9756298124729716
2, DaTa, val=0.9757667589613822, test=0.9757667589613822
3, DaTa, val=0.9575024651111986, test=0.9575024651111986
4, DaTa, val=0.9760948575979743, test=0.9760948575979743
5, DaTa, val=0.9749343281876276, test=0.9749343281876276
6, DaTa, val=0.9771383072476502, test=0.9771383072476502
7, DaTa, val=0.9772580284646307, test=0.9772580284646307
8, DaTa, val=0.975015097224938, test=0.975015097224938
9, DaTa, val=0.976034848175044, test=0.976034848175044
10, DaTa, val=0.9737548621397908, test=0.9737548621397908
11, DaTa, val=0.95598135831273, test=0.95598135831273
12, DaTa, val=0.9772556474335908, test=0.9772556474335908
13, DaTa, val=0.9755559633071211, test=0.9755559633071211
14, DaTa, val=0.976755110064648, test=0.976755110064648
15, DaTa, val=0.9563560730726521, test=0.9563560730726521
16, DaTa, val=0.9758272892348527, test=0.9758272892348527
17, DaTa, val=0.9757136322063021, test=0.9757136322063021
18, DaTa, val=0.9760675873518438, test=0.9760675873518438
19, DaTa, val=0.9743759392051344, test=0.9743759392051344
20, DaTa, val=0.9769262466706489, test=0.9769262466706489
21, DaTa, val=0.9762913670659954, test=0.9762913670659954
22, DaTa, val=0.9757839842328125, test=0.9757839842328125
23, DaTa, val=0.9756414199992917, test=0.9756414199992917
24, DaTa, val=0.9746742005465062, test=0.9746742005465062
25, DaTa, val=0.9777966623302139, test=0.9777966623302139
26, DaTa, val=0.9770542642926597, test=0.9770542642926597
27, DaTa, val=0.9759315337500734, test=0.9759315337500734
28, DaTa, val=0.9600517680792431, test=0.9600517680792431
29, DaTa, val=0.9751578102728989, test=0.9751578102728989
30, DaTa, val=0.9754260110973904, test=0.9754260110973904
31, DaTa, val=0.9754732224784807, test=0.9754732224784807
32, DaTa, val=0.9739985457852922, test=0.9739985457852922
33, DaTa, val=0.9752037939348592, test=0.9752037939348592
34, DaTa, val=0.9770717871929697, test=0.9770717871929697
35, DaTa, val=0.9587237480166755, test=0.9587237480166755
36, DaTa, val=0.9761054606268242, test=0.9761054606268242
37, DaTa, val=0.9776704304814832, test=0.9776704304814832
38, DaTa, val=0.9755180156249211, test=0.9755180156249211
39, DaTa, val=0.9759183264685233, test=0.9759183264685233
40, DaTa, val=0.9778960703761342, test=0.9778960703761342
41, DaTa, val=0.9750876442644385, test=0.9750876442644385
42, DaTa, val=0.9752921897122198, test=0.9752921897122198
43, DaTa, val=0.9765186439194866, test=0.9765186439194866
44, DaTa, val=0.9761671442122045, test=0.9761671442122045
45, DaTa, val=0.9597205443394112, test=0.9597205443394112
46, DaTa, val=0.9762513731852451, test=0.9762513731852451
47, DaTa, val=0.9749469402114175, test=0.9749469402114175
48, DaTa, val=0.975152973803599, test=0.975152973803599
49, DaTa, val=0.9763322538333854, test=0.9763322538333854
50, DaTa, val=0.9755779878442412, test=0.9755779878442412
51, DaTa, val=0.9747495750603665, test=0.9747495750603665
52, DaTa, val=0.9770785582499897, test=0.9770785582499897
53, DaTa, val=0.9757940664111224, test=0.9757940664111224
54, DaTa, val=0.9755003811137809, test=0.9755003811137809
55, DaTa, val=0.9763305796709355, test=0.9763305796709355
56, DaTa, val=0.9770281101548294, test=0.9770281101548294
57, DaTa, val=0.9757577184841523, test=0.9757577184841523
58, DaTa, val=0.958829183047416, test=0.958829183047416
59, DaTa, val=0.9758464118903929, test=0.9758464118903929
60, DaTa, val=0.9750903229243586, test=0.9750903229243586
61, DaTa, val=0.954074822114659, test=0.954074822114659
62, DaTa, val=0.9550794683991048, test=0.9550794683991048
63, DaTa, val=0.9767938018190483, test=0.9767938018190483
64, DaTa, val=0.974982618473408, test=0.974982618473408
65, DaTa, val=0.9538289062525578, test=0.9538289062525578
66, DaTa, val=0.9596651853677308, test=0.9596651853677308
67, DaTa, val=0.975865348527883, test=0.975865348527883
68, DaTa, val=0.9758662414145229, test=0.9758662414145229
69, DaTa, val=0.9590848834589476, test=0.9590848834589476
70, DaTa, val=0.9754892200307808, test=0.9754892200307808
71, DaTa, val=0.9767048851911477, test=0.9767048851911477
72, DaTa, val=0.9599912378057728, test=0.9599912378057728
73, DaTa, val=0.9735754663323699, test=0.9735754663323699
74, DaTa, val=0.976931827212149, test=0.976931827212149
75, DaTa, val=0.976747111288498, test=0.976747111288498
76, DaTa, val=0.9779491227239948, test=0.9779491227239948
77, DaTa, val=0.9751789419233792, test=0.9751789419233792
78, DaTa, val=0.9767060012994476, test=0.9767060012994476
79, DaTa, val=0.9763740334874159, test=0.9763740334874159
80, DaTa, val=0.9575632558099391, test=0.9575632558099391
81, DaTa, val=0.9755616182558411, test=0.9755616182558411
82, DaTa, val=0.9751784210728389, test=0.9751784210728389
83, DaTa, val=0.9754656329420408, test=0.9754656329420408
84, DaTa, val=0.97536905237048, test=0.97536905237048
85, DaTa, val=0.9767582351678878, test=0.9767582351678878
86, DaTa, val=0.9774919647643121, test=0.9774919647643121
87, DaTa, val=0.975199255094439, test=0.975199255094439
88, DaTa, val=0.9749057186115375, test=0.9749057186115375
89, DaTa, val=0.9756714433125618, test=0.9756714433125618
90, DaTa, val=0.9758006886537025, test=0.9758006886537025
91, DaTa, val=0.9758423566969027, test=0.9758423566969027
92, DaTa, val=0.9738719791040715, test=0.9738719791040715
93, DaTa, val=0.9757998701742825, test=0.9757998701742825
